transaction_id,timestamp,sender_upi_id,receiver_upi_id,sender_account_id,receiver_account_id,amount,transaction_type,device_id,ip_address,location,sender_bank,receiver_bank,hour_of_day,day_of_week,is_new_device,is_new_receiver,transaction_status,label_is_fraud,fraud_type
9bc59473-7f41-4060-a3d0-d0f02debaad8,2026-08-10 05:01:32,user808476@okhdfcbank,store433725@paytm,ACC100808,RCV894897,3476.08,P2P,dev_ern6yjmk3t,11.152.173.27,Delhi,Kotak Mahindra Bank,ICICI Bank,5,0,False,False,SUCCESS,False,
8483be82-624c-4ce2-aa97-3223144722f8,2026-08-10 05:19:20,user479146@okaxis,person817205@okaxis,ACC100479,RCV240587,1212.29,P2P,dev_l9r9kmp6j3,22.187.91.117,Kolkata,Kotak Mahindra Bank,IDFC First Bank,5,0,False,False,SUCCESS,False,
b8e0c33d-da15-465c-b2f8-e11ee24b9a4a,2026-08-10 05:20:52,user1006343@okaxis,shop520370@okhdfcbank,ACC101006,RCV819372,1742.53,P2P,dev_mln2v51psx,16.102.209.91,Patna,Yes Bank,HDFC Bank,5,0,False,False,SUCCESS,False,
ed1f96d7-2d87-4701-8cf1-cd7b6c0adea7,2026-08-10 05:50:09,user871121@paytm,store691594@okicici,ACC100871,RCV964244,221.38,COLLECT,dev_s1vip3tvf5,175.163.183.146,Lucknow,IDFC First Bank,ICICI Bank,5,0,False,True,SUCCESS,False,
03a4ae01-3b7a-40cd-8536-cf2457d27ae0,2026-08-10 05:51:05,user1193269@okaxis,person2809@ybl,ACC101193,RCV267534,745.06,P2P,dev_1xrp4jdva7,17.106.138.200,Nagpur,ICICI Bank,Kotak Mahindra Bank,5,0,True,True,FAILED,True,unusual_geo_device
ea7830c8-5e6f-4b11-9513-11f7c1aeab67,2026-08-10 06:24:21,user791204@ybl,store435772@okaxis,ACC100791,RCV415764,616.33,P2P,dev_ow47lueq4d,63.220.128.165,Chandigarh,Indian Bank,ICICI Bank,6,0,False,False,SUCCESS,False,
59f9b502-4d2c-4a15-a9b8-036307413919,2026-08-10 06:44:50,user703856@oksbi,merchant7724@paytm,ACC100703,RCV931757,199.39,P2P,dev_s11d2mrmtx,145.24.40.158,Chandigarh,Axis Bank,Punjab National Bank,6,0,False,False,SUCCESS,False,
48fa8c0d-1060-4040-9ca3-96d70c854fe5,2026-08-10 07:00:47,user1157953@okaxis,store163684@okhdfcbank,ACC101157,RCV639816,6664.64,P2P,dev_ewrukfwpzd,175.86.45.207,Bhopal,SBI,Punjab National Bank,7,0,False,False,SUCCESS,False,
69443f7b-4d06-4bb5-821f-494609f2223f,2026-08-10 07:01:52,user53664@okicici,biz245813@paytm,ACC100536,RCV225967,321.28,COLLECT,dev_kwcyuknd1i,158.124.230.164,Delhi,Canara Bank,Canara Bank,7,0,False,False,SUCCESS,False,
bd64fe4b-3960-4fb7-a9cb-e5f6b8b8c947,2026-08-10 07:02:53,user257811@okhdfcbank,store415306@ybl,ACC100257,RCV392454,537.31,P2P,dev_6uxqm334l1,32.211.136.240,Lucknow,Yes Bank,SBI,7,0,False,False,FAILED,False,
ed1b328a-b60b-431c-b752-f58a30d3b553,2026-08-10 07:05:04,user1783@ybl,shop19663@okhdfcbank,ACC100017,RCV132040,1137.69,P2M,dev_vyie6ivwpv,10.120.248.240,Bengaluru,ICICI Bank,Canara Bank,7,0,False,True,SUCCESS,False,
eb683a30-45ef-4b29-95a8-b7f421eb743f,2026-08-10 07:15:38,user257811@okhdfcbank,store415306@ybl,ACC100257,RCV392454,338.41,P2P,dev_6uxqm334l1,200.193.216.39,Lucknow,Yes Bank,IDFC First Bank,7,0,False,False,SUCCESS,False,
14e9a6a5-84f2-4be7-a80d-69427b2b31aa,2026-08-10 07:16:12,user121648@paytm,biz482845@oksbi,ACC101216,RCV534685,527.16,P2M,dev_9ypdax6kdd,220.116.51.86,Bhopal,Bank of Baroda,ICICI Bank,7,0,False,False,SUCCESS,False,
75d0e62b-3401-4554-95a9-4d532c4a00e8,2026-08-10 07:20:12,user1070577@okaxis,merchant461877@okaxis,ACC101070,RCV726806,434.62,P2M,dev_o2s9nblgu0,222.23.0.241,Ahmedabad,HDFC Bank,Punjab National Bank,7,0,False,False,SUCCESS,False,
03c1973d-cbc0-43c2-a3a2-b743206987ff,2026-08-10 07:20:47,user865130@ybl,biz30882@okicici,ACC100865,RCV863238,635.51,P2M,dev_93ezemqt78,182.245.162.78,Ahmedabad,HDFC Bank,Indian Bank,7,0,False,False,SUCCESS,False,
88523bf3-2540-42e4-aa8a-68fcf705dc51,2026-08-10 07:33:18,user969768@okaxis,shop5755@ybl,ACC100969,RCV911571,216.73,P2P,dev_vqltzqwdyv,23.164.140.27,Ahmedabad,Punjab National Bank,Bank of Baroda,7,0,False,False,SUCCESS,False,
527fdd4f-f545-4baa-893e-cd60a9712a4e,2026-08-10 07:36:39,user1215751@okicici,shop822128@okicici,ACC101215,RCV412278,1418.0,P2P,dev_4ogn378vpc,115.216.54.87,Patna,SBI,Yes Bank,7,0,False,False,SUCCESS,False,
23b13b99-d51f-498a-8a8e-6591ea5eddc3,2026-08-10 07:37:27,user2368@okhdfcbank,person106172@okaxis,ACC100002,RCV751415,1175.12,P2P,dev_30t9nt3w5u,63.247.62.249,Jaipur,Punjab National Bank,ICICI Bank,7,0,False,False,SUCCESS,False,
29b94ee7-aa96-4fd8-a58c-d6b6f2f1c61f,2026-08-10 07:39:49,user423354@oksbi,person182266@okaxis,ACC100423,RCV590162,1037.2,P2P,dev_s3qt36qnyy,166.14.159.161,Kochi,Canara Bank,Bank of Baroda,7,0,False,False,SUCCESS,False,
817099cd-d465-430c-be7a-d7d96ad3ba12,2026-08-10 07:49:34,user485821@okhdfcbank,store777805@paytm,ACC100485,RCV237825,138.35,P2P,dev_lbc8nog85d,161.142.48.185,Lucknow,Union Bank of India,Union Bank of India,7,0,False,False,FAILED,False,
b8206090-d3e4-433d-8746-b3e801f5c6db,2026-08-10 07:51:02,user872350@paytm,biz664741@paytm,ACC100872,RCV135359,146.64,COLLECT,dev_n6eqv5y21i,58.15.23.134,Delhi,Kotak Mahindra Bank,IDFC First Bank,7,0,False,False,SUCCESS,False,
bdbc1f30-b2d3-4110-a753-570823df9f59,2026-08-10 07:51:59,user266575@paytm,biz680713@oksbi,ACC100266,RCV235389,4499.8,P2M,dev_s2zybno2y8,180.190.13.64,Ahmedabad,Bank of Baroda,Union Bank of India,7,0,False,False,SUCCESS,False,
a7463c10-6f57-4169-a379-fdfdbf45a188,2026-08-10 07:53:19,user1085622@okicici,shop779448@ybl,ACC101085,RCV113641,585.82,P2M,dev_fijmcjb00e,170.79.55.59,Chandigarh,Yes Bank,Punjab National Bank,7,0,False,False,SUCCESS,False,
d0b8f1ec-d667-4049-8ca7-a818d7f46553,2026-08-10 08:03:00,user482209@okhdfcbank,merchant271576@paytm,ACC100482,RCV417599,113.31,P2M,dev_403uxh9a1g,113.43.181.248,Hyderabad,Kotak Mahindra Bank,Punjab National Bank,8,0,False,False,SUCCESS,False,
5f7d46fa-73c6-42ff-8986-3282df6d743b,2026-08-10 08:03:30,user1066799@okhdfcbank,biz360241@oksbi,ACC101066,RCV449573,81.91,P2P,dev_50df0wcyr2,106.163.104.157,Mumbai,SBI,Axis Bank,8,0,False,False,SUCCESS,False,
6a5aec6e-82ab-48b8-92be-fb4d78675c0a,2026-08-10 08:05:54,user154423@okhdfcbank,shop179372@okicici,ACC100154,RCV787319,824.63,P2P,dev_cfhqcw76xa,54.131.47.236,Ahmedabad,ICICI Bank,IDFC First Bank,8,0,False,False,SUCCESS,False,
8b6fdf2a-c0c5-488a-ad95-1733c4ac20cb,2026-08-10 08:06:28,user601407@okicici,person430517@okaxis,ACC100601,RCV442830,405.16,P2M,dev_y8xny2x15x,93.208.167.196,Lucknow,Canara Bank,HDFC Bank,8,0,False,False,SUCCESS,False,
8683a988-4679-4d14-b497-323ca2466634,2026-08-10 08:07:26,user876689@ybl,person178326@oksbi,ACC100876,RCV535220,442.85,P2P,dev_3zbxpq5bo2,87.22.223.82,Bhopal,Indian Bank,Yes Bank,8,0,False,False,SUCCESS,False,
cf8a596b-fc82-4845-96b0-942df1921f3e,2026-08-10 08:09:19,user1066799@okhdfcbank,biz360241@oksbi,ACC101066,RCV449573,159.9,P2M,dev_50df0wcyr2,68.255.71.162,Mumbai,SBI,Canara Bank,8,0,False,False,SUCCESS,False,
76067cdd-b6c1-4400-b2e7-38689d2bfdbc,2026-08-10 08:11:52,user1129855@paytm,merchant94240@okaxis,ACC101129,RCV120366,1044.72,P2M,dev_amisu1o67u,36.197.104.70,Kochi,ICICI Bank,Yes Bank,8,0,False,False,SUCCESS,False,
2968a422-0aac-4194-b429-7107981d426a,2026-08-10 08:12:58,user812989@okaxis,merchant196718@paytm,ACC100812,RCV416426,3107.49,P2M,dev_u9wt2ybuh7,223.95.121.178,Pune,HDFC Bank,Union Bank of India,8,0,False,False,SUCCESS,False,
5524ee7a-f342-4840-b330-5709b42dd407,2026-08-10 08:18:32,user540839@ybl,biz383958@paytm,ACC100540,RCV289984,1865.84,P2P,dev_phh62myz9v,116.112.42.55,Delhi,IDFC First Bank,Axis Bank,8,0,False,False,SUCCESS,False,
281d31c6-b310-4745-ac21-3f795aae8abe,2026-08-10 08:18:45,user187440@okicici,person305486@ybl,ACC100187,RCV234516,873.05,P2P,dev_zareiyaz39,12.37.9.143,Bengaluru,Union Bank of India,Axis Bank,8,0,False,False,SUCCESS,False,
