transaction_id,timestamp,sender_upi_id,receiver_upi_id,sender_account_id,receiver_account_id,amount,transaction_type,device_id,ip_address,location,sender_bank,receiver_bank,hour_of_day,day_of_week,is_new_device,is_new_receiver,transaction_status,label_is_fraud,fraud_type
b83f7596-40cf-4cef-b6ab-9bf2bc51d11c,2026-05-30 00:16:57,user705676@okicici,shop181911@okaxis,ACC100705,RCV380206,585.24,P2P,dev_ri09m0g8w8,201.35.149.12,Nagpur,ICICI Bank,Bank of Baroda,0,5,False,False,SUCCESS,False,
0e0fdb72-4b79-4fe3-a82f-21b63456a25b,2026-05-30 00:25:05,user580862@paytm,store749460@okaxis,ACC100580,RCV799743,1111.9,COLLECT,dev_edznz9c65f,174.197.21.82,Mumbai,ICICI Bank,IDFC First Bank,0,5,False,False,SUCCESS,False,
e617569b-bbd9-450d-badd-b305da802009,2026-05-30 00:27:41,user251275@ybl,merchant151341@ybl,ACC100251,RCV249825,2178.44,P2M,dev_nmeoq4yrp5,34.106.154.182,Bengaluru,Indian Bank,Bank of Baroda,0,5,False,True,SUCCESS,False,
54df79e4-506e-4fdc-bd25-2e3310fbb446,2026-05-30 00:49:49,user76663@okaxis,merchant684332@okicici,ACC100766,RCV655603,634.72,P2P,dev_jlopo6j0m3,112.10.89.72,Surat,IDFC First Bank,Axis Bank,0,5,False,False,SUCCESS,False,
9efd81b1-6913-47e7-a3bf-4778771593a8,2026-05-30 01:25:34,user983580@okicici,person795570@oksbi,ACC100983,RCV897874,4061.25,COLLECT,dev_9gmykvygw2,115.239.52.113,Nagpur,Axis Bank,Bank of Baroda,1,5,False,True,SUCCESS,True,mule_account
02655dd2-9fa5-4ecd-a66a-a263d7c5cec1,2026-05-30 01:29:33,user1041416@oksbi,store513613@okicici,ACC101041,RCV680714,368.44,P2P,dev_jvu2cgxu5w,175.160.53.143,Kolkata,IDFC First Bank,SBI,1,5,False,False,SUCCESS,False,
8f79b262-e0ed-44cf-89d5-df2f040a7531,2026-05-30 01:35:34,user983580@okicici,person795570@oksbi,ACC100983,RCV897874,3187.55,P2P,dev_9gmykvygw2,204.151.91.179,Nagpur,Axis Bank,Canara Bank,1,5,False,True,SUCCESS,True,mule_account
0638b220-25e0-42b9-a526-daa5d0f81852,2026-05-30 01:48:44,user12881@okhdfcbank,shop10379@okaxis,ACC100012,RCV694836,1040.06,P2M,dev_skrt05uiro,168.1.108.124,Bengaluru,Punjab National Bank,Union Bank of India,1,5,False,False,PENDING,False,
8ac97dbf-a024-4038-adc6-36dab445139c,2026-05-30 01:53:34,user983580@okicici,person795570@oksbi,ACC100983,RCV897874,3637.03,COLLECT,dev_9gmykvygw2,177.150.107.132,Nagpur,Axis Bank,IDFC First Bank,1,5,False,True,SUCCESS,True,mule_account
a66c583f-cbf5-43ad-aa32-d1cda4231eaa,2026-05-30 02:32:41,user242463@okhdfcbank,merchant666921@paytm,ACC100242,RCV291920,1277.08,COLLECT,dev_1g1r1dwwo8,205.226.27.114,Pune,Kotak Mahindra Bank,Indian Bank,2,5,False,False,FAILED,False,
7405a8cc-6a73-41b2-8f33-ac0b2bf39bd2,2026-05-30 02:33:25,user505445@okicici,biz763169@oksbi,ACC100505,RCV487364,587.91,P2M,dev_1xx6cwzxsk,166.147.206.6,Indore,SBI,Punjab National Bank,2,5,False,False,SUCCESS,False,
